PROGRAMA,SETOR,GRANDE ÁREA CNPQ,ÁREA CNPQ,SITUAÇÃO ATUAL,CURSO BOLSISTA
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 1º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 1º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 2º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,ATIVO,QUIMICA INDUSTRIAL
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLOGICA DA FAPEMIG,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,QUIMICA INDUSTRIAL
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,QUIMICA INDUSTRIAL
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,ATIVO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,ATIVO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,ATIVO,ENGENHARIA METALURGICA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA - AÇÕES AFIRMATIVAS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEMIN     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,ENGENHARIA METALURGICA
PROGRAMA ESPECIAL PARA ALUNOS DO CURSO DE ENGENHARIA  METALURGICA E DE MATERIAIS,DEMET     ,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,CONCLUÍDO,"ENGENHARIA METALURGICA, ENGENHARIA METALURGICA"
